date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:48:23	309028/309028	---M--	200	added ('OK')	image/jpeg	etag:%22Fn1Am440J2QHgKs5yQDutjq6n4A_%22	http://v4-upload.goalsites.com/377/image_1603092793_grill-cleaner-2.jpg	D:/Clients_Projects/alissabbq/stolen_template/bbq/v4-upload.goalsites.com/377/image_1603092793_grill-cleaner-2.jpg_;%20filename_=utf-8''image_1603092793_grill-cleaner-2.jpg	(from https://www.keyobbq.com/products/bbq-accessories/3.html)
10:48:26	139518/139518	---M-Z	200	added ('OK')	text/html	date:Sat,%2025%20Sep%202021%2005:48:24%20GMT	https://www.keyobbq.com/product/ky4033aw-f-bbq-grill-mats.html	D:/Clients_Projects/alissabbq/stolen_template/bbq/www.keyobbq.com/product/ky4033aw-f-bbq-grill-mats.html	(from https://www.keyobbq.com/products/bbq-accessories/3.html)
10:48:29	135762/135762	---M-Z	200	added ('OK')	text/html	date:Sat,%2025%20Sep%202021%2005:48:28%20GMT	https://www.keyobbq.com/product/ky4050-non-stick-bbq-mat.html	D:/Clients_Projects/alissabbq/stolen_template/bbq/www.keyobbq.com/product/ky4050-non-stick-bbq-mat.html	(from https://www.keyobbq.com/products/bbq-accessories/3.html)
10:49:16	516146/516146	---M--	200	added ('OK')	image/jpeg	etag:%22FnqR8JFSz0NDZ8LSrj65oJhBqywM%22	http://v4-upload.goalsites.com/377/image_1603093183_KY40M-3.jpg	D:/Clients_Projects/alissabbq/stolen_template/bbq/v4-upload.goalsites.com/377/image_1603093183_KY40M-3.jpg_;%20filename_=utf-8''image_1603093183_KY40M-3.jpg	(from https://www.keyobbq.com/products/bbq-accessories/3.html)
10:49:19	137261/137261	---M-Z	200	added ('OK')	text/html	date:Sat,%2025%20Sep%202021%2005:49:17%20GMT	https://www.keyobbq.com/product/yh3040-fiber-glass-bbq-mat.html	D:/Clients_Projects/alissabbq/stolen_template/bbq/www.keyobbq.com/product/yh3040-fiber-glass-bbq-mat.html	(from https://www.keyobbq.com/products/bbq-accessories/3.html)
10:49:38	1807704/1807704	---M--	200	added ('OK')	image/jpeg	etag:%22FtHdcXo5EKzriEN1k3r9UN25ATjW%22	http://v4-upload.goalsites.com/377/image_1603087325_08.jpg	D:/Clients_Projects/alissabbq/stolen_template/bbq/v4-upload.goalsites.com/377/image_1603087325_08.jpg_;%20filename_=utf-8''image_1603087325_08.jpg	(from https://www.keyobbq.com/products/bbq-accessories/2.html)
10:49:40	433346/433346	---M--	200	added ('OK')	image/jpeg	etag:%22FnPbNzYxgruf9kv-1WWsIb2ahZIo%22	http://v4-upload.goalsites.com/377/image_1603093755_FR-KY4050M-(2).jpg	D:/Clients_Projects/alissabbq/stolen_template/bbq/v4-upload.goalsites.com/377/image_1603093755_FR-KY4050M-(2).jpg_;%20filename_=utf-8''image_1603093755_FR-KY4050M-%282%29.jpg	(from https://www.keyobbq.com/products/bbq-accessories/3.html)
10:49:41	135680/135680	---M-Z	200	added ('OK')	text/html	date:Sat,%2025%20Sep%202021%2005:49:40%20GMT	https://www.keyobbq.com/product/bsk5-bbq-grill-basket.html	D:/Clients_Projects/alissabbq/stolen_template/bbq/www.keyobbq.com/product/bsk5-bbq-grill-basket.html	(from https://www.keyobbq.com/products/bbq-accessories/3.html)
10:49:44	135889/135889	---M-Z	200	added ('OK')	text/html	date:Sat,%2025%20Sep%202021%2005:49:42%20GMT	https://www.keyobbq.com/product/ky7065-bbq-tool-apron.html	D:/Clients_Projects/alissabbq/stolen_template/bbq/www.keyobbq.com/product/ky7065-bbq-tool-apron.html	(from https://www.keyobbq.com/products/bbq-accessories/3.html)
10:49:57	97300/97300	---M--	200	added ('OK')	image/jpeg	etag:%22Fon4RiRHAt3O6pd_lQqRHogKQDP_%22	http://v4-upload.goalsites.com/377/image_1603094642_FR-BSK5-(2).jpg	D:/Clients_Projects/alissabbq/stolen_template/bbq/v4-upload.goalsites.com/377/image_1603094642_FR-BSK5-(2).jpg_;%20filename_=utf-8''image_1603094642_FR-BSK5-%282%29.jpg	(from https://www.keyobbq.com/products/bbq-accessories/3.html)
10:50:00	151580/151580	---M-Z	200	added ('OK')	text/html	date:Sat,%2025%20Sep%202021%2005:49:58%20GMT	https://www.keyobbq.com/product/ky26ap-bbq-apron-bbq-tools.html	D:/Clients_Projects/alissabbq/stolen_template/bbq/www.keyobbq.com/product/ky26ap-bbq-apron-bbq-tools.html	(from https://www.keyobbq.com/products/bbq-accessories/3.html)
10:50:23	236348/236348	---M--	200	added ('OK')	image/jpeg	etag:%22Foa7oAae5kJiq-MttdzpfpZN5jT1%22	http://v4-upload.goalsites.com/377/image_1603096590_KY7065-BBQ-APRON(1).jpg	D:/Clients_Projects/alissabbq/stolen_template/bbq/v4-upload.goalsites.com/377/image_1603096590_KY7065-BBQ-APRON(1).jpg_;%20filename_=utf-8''image_1603096590_KY7065-BBQ-APRON%281%29.jpg	(from https://www.keyobbq.com/products/bbq-accessories/3.html)
10:50:27	135535/135535	---M-Z	200	added ('OK')	text/html	date:Sat,%2025%20Sep%202021%2005:50:25%20GMT	https://www.keyobbq.com/product/ky1006ta-bbq-burger-charcoal-bbq-burger-press.html	D:/Clients_Projects/alissabbq/stolen_template/bbq/www.keyobbq.com/product/ky1006ta-bbq-burger-charcoal-bbq-burger-press.html	(from https://www.keyobbq.com/products/bbq-accessories/3.html)
10:50:37	226414/226414	---M--	200	added ('OK')	image/jpeg	etag:%22FogPio8lmXqluThmtV7I7REZjgTL%22	http://v4-upload.goalsites.com/377/image_1603097054_KY26AP-BBQ-Apron(1).jpg	D:/Clients_Projects/alissabbq/stolen_template/bbq/v4-upload.goalsites.com/377/image_1603097054_KY26AP-BBQ-Apron(1).jpg_;%20filename_=utf-8''image_1603097054_KY26AP-BBQ-Apron%281%29.jpg	(from https://www.keyobbq.com/products/bbq-accessories/3.html)
10:50:41	135072/135072	---M-Z	200	added ('OK')	text/html	date:Sat,%2025%20Sep%202021%2005:50:39%20GMT	https://www.keyobbq.com/product/ky1008zl-triple-burber-press-bbq-meat-press.html	D:/Clients_Projects/alissabbq/stolen_template/bbq/www.keyobbq.com/product/ky1008zl-triple-burber-press-bbq-meat-press.html	(from https://www.keyobbq.com/products/bbq-accessories/3.html)
10:50:43	92851/92851	---M--	200	added ('OK')	image/jpeg	etag:%22FtFLKoAgx1cHg0YosxHt9d6XYe5e%22	http://v4-upload.goalsites.com/377/image_1603097228_KY1006TA-(2).jpg	D:/Clients_Projects/alissabbq/stolen_template/bbq/v4-upload.goalsites.com/377/image_1603097228_KY1006TA-(2).jpg_;%20filename_=utf-8''image_1603097228_KY1006TA-%282%29.jpg	(from https://www.keyobbq.com/products/bbq-accessories/3.html)
10:50:46	151754/151754	---M-Z	200	added ('OK')	text/html	date:Sat,%2025%20Sep%202021%2005:50:44%20GMT	https://www.keyobbq.com/product/ky840715awq-bbq-tools-apron.html	D:/Clients_Projects/alissabbq/stolen_template/bbq/www.keyobbq.com/product/ky840715awq-bbq-tools-apron.html	(from https://www.keyobbq.com/products/bbq-accessories/4.html)
